family,n_official,n_third_party,downloads_official,downloads_third_party,third_party_share,third_party_to_official_ratio
aegis,0,21,0,150,1.000,inf
duoguard,0,5,0,447,1.000,inf
gpt_oss_safeguard,0,116,0,96123,1.000,inf
granite_guardian,17,90,248909,12817,0.049,0.05
guardreasoner,0,50,0,4663,1.000,inf
llama_guard,10,210,157804,277736,0.638,1.76
md_judge,2,9,1757,3025,0.633,1.72
nemoguard,3,11,813,21336,0.963,26.24
polyguard,0,43,0,10253,1.000,inf
prompt_guard,3,161,4640642,39387,0.008,0.01
qwen_guard,6,129,272623,9887,0.035,0.04
shieldgemma,4,54,14545,16381,0.530,1.13
wildguard,1,60,151680,1679,0.011,0.01
